word;wurd
another;nother
actually;akshaly
action;acshin
seriously;sersli
?;?!?
know;noe
about;bout
an;am an
a;an
am;am an am
it;et
are;r
sometimes;sumtims
i;me
girl;gril
woman;womern
ethan;ellen
nick;neck
jamal;jaml
richard;rikkerd
yolo;yulu
guys;guise
like;liek
game;gaem
faggot;fagit
math;maf
bath;baf
grapes;garpes
twitter;twatter
stop;STAHP
please;pls
rate;r8
stupid;stooped
computer;compooter
square;sqwar
gay;GHEY
swag;sweg
booty;booti
fuck;fuk
damn;dam
shit;shet
poop;doo doo
be;b
dude;dood
docter;drocter
project;projekt
day;dai
see;she
she;her am
her;she
does;dos
lets;lez
make;maek
love;luv
this;dis
centennial;swagtennial
tweet;twat
tweets;twits
#;hashtaig
mexico;metsico
mexican;metsican
america;murica
american;idjit
idiot;idjit
tomatoes;tomaters
do;does
that;dat
even;evren
you;u
need;ned
feed;fed
breed;bread
holy;holi
my;mi
die;di
lol;lel
your;ur
blow;blo
gonna;guna
im;am
everytime;evrytiem
beat;beet
of;ov
a;an
to;2
day;dai
are;r
because;cuz
weird;weerd
school;skewl
all:;al
have;hav
fuck;fuk
faggot;fagit
fag;fagit
faggit;fagit
stop;stahp
god;gad
more;moar
look;luk
name;naem
scared;skared
nigger;nigg
cry;cri
toes;troes
sandwich;sammich
fork;frok
putin;pooten
animal;aminal
shoes;crocs
sauce;saus
hot;hawt
overweight;fat ass
aaron;a-a-ron
erin;a-a-ron
don't;dunt
dont;dunt
doesnt;aint
does'nt;aint
doesn't;aint
history;hissori
porn;pron
boobs;bewbs
vagina;pussi
buttocks;ass
butt;booti
youtube;yurtub
peanut;penit
grape;garp
